Source,Target,Citation Type,Source Title,Target Title
07_1864,07_1179,cited,The Investors for the Future of Tasmania Inc. v Minister for the Environment and Water Resources [2007] FCA 1864 (30 November 2007),The Investors for the Future of Tasmania Inc. v Minister for the Environment and Water Resources [2007] FCA 1179 (9 August 2007)
07_1864,07_1863,cited,The Investors for the Future of Tasmania Inc. v Minister for the Environment and Water Resources [2007] FCA 1864 (30 November 2007),The Wilderness Society Inc. v The Hon. Malcolm Turnbull Minister for the Environment and Water Resources [2007] FCA 1863 (30 November 2007)
07_1863,06_51,referred_to,The Wilderness Society Inc. v The Hon. Malcolm Turnbull Minister for the Environment and Water Resources [2007] FCA 1863 (30 November 2007),Soufflet Beheer v AWB Ltd (ACN 081 890 459) [2006] FCA 51 (8 February 2006)
07_1863,07_1179,cited,The Wilderness Society Inc. v The Hon. Malcolm Turnbull Minister for the Environment and Water Resources [2007] FCA 1863 (30 November 2007),The Investors for the Future of Tasmania Inc. v Minister for the Environment and Water Resources [2007] FCA 1179 (9 August 2007)
07_1862,07_1586,considered,Military Rehabilitation amp; Compensation Commission v Perry [2007] FCA 1862 (29 November 2007),Military Rehabilitation amp; Compensation Commission v Perry [2007] FCA 1586 (16 November 2007)
07_1861,06_176,referred_to,CPSU The Community and Public Sector Union v Commonwealth of Australia [2007] FCA 1861 (4 December 2007),Applicant M47/2004 v Minister for Immigration and Multicultural and Indigenous Affairs [2006] FCA 176 (9 March 2006)
09_1084,08_569,cited,Horizontal Falls Adventure Tours Pty Ltd (ACN 108 455 410) v Thomas (No 2) [2009] FCA 1084 (25 September 2009),Humphries v Halifax Vogel Group Proprietary Limited ACN 104 808 853 [2008] FCA 569 (18 April 2008)
09_1084,09_639,cited,Horizontal Falls Adventure Tours Pty Ltd (ACN 108 455 410) v Thomas (No 2) [2009] FCA 1084 (25 September 2009),Horizontal Falls Adventure Tours Pty Ltd (ACN 108 455 410) v Thomas [2009] FCA 639 (11 June 2009)
09_936,06_63,applied,SZMRS v Minister for Immigration and Citizenship [2009] FCA 936 (24 August 2009),Moore-McQuillan v Scot [2006] FCA 63 (10 February 2006)
09_936,08_1219,applied,SZMRS v Minister for Immigration and Citizenship [2009] FCA 936 (24 August 2009),SBLF v Minister for Immigration and Citizenship [2008] FCA 1219 (14 August 2008)
09_936,07_26,applied,SZMRS v Minister for Immigration and Citizenship [2009] FCA 936 (24 August 2009),Wight v Honourable Chris Pearce MP Parliamentary Secretary to the Treasurer [2007] FCA 26 (29 January 2007)
